日期,平台,岗位名称,公司名称,公司类型,城市,薪资范围,经验要求,学历要求,岗位链接,公司工商验证,招聘信息验证,备注,是否新增
2026-08-10,猎聘,UX体验设计师,京东,上市民企,北京,20-35k·20薪,3-10年,本科,https://www.liepin.com/job/1980041763.shtml,已验证（纳斯达克JD/港交所9618）,已验证（猎聘官方页面）,上市大厂 20薪 适合4.5年经验,是
2026-08-10,猎聘,AIGC体验设计师,京东,上市民企,北京,25-40k·19薪,3-5年,本科,https://www.liepin.com/job/1975644581.shtml,已验证（纳斯达克JD/港交所9618）,已验证（猎聘官方页面）,上市大厂 AIGC方向 非常匹配4.5年经验,是
2026-08-10,猎聘,资深交互体验设计师,京东,上市民企,北京,35-65k·16薪,3-5年,本科,https://www.liepin.com/job/1960601113.shtml,已验证（纳斯达克JD/港交所9618）,已验证（猎聘官方页面）,上市大厂 交互方向 非常匹配4.5年经验,是
2026-08-10,猎聘,资深体验设计师（偏视觉）,京东,上市民企,北京,35-65k·16薪,5年以上,本科,https://www.liepin.com/job/1972869825.shtml,已验证（纳斯达克JD/港交所9618）,已验证（猎聘官方页面）,上市大厂 视觉方向,是
2026-08-10,猎聘,资深体验设计师,美团,上市民企,北京,20-40k·15薪,经验不限,本科,https://www.liepin.com/job/1962956595.shtml,已验证（港交所上市3690）,已验证（猎聘官方页面）,上市大厂 经验不限,是
2026-08-10,猎聘,用户体验设计专家,理想汽车,上市民企,北京,30-50k·14薪,5-10年,本科,https://www.liepin.com/job/1984470715.shtml,已验证（纳斯达克LI/港交所2015）,已验证（猎聘官方页面）,上市新能源车 用户体验,是
2026-08-10,猎聘,高级UI视觉设计师（仪表方向）,九号公司,上市民企,北京,20-30k·14薪,经验不限,学历不限,https://www.liepin.com/job/1977996043.shtml,已验证（科创板上市689009）,已验证（猎聘官方页面）,科创板上市 智能短交通 仪表方向,是
2026-08-10,猎聘,资深UI设计师-豆包爱学,字节跳动,其他民企（独角兽）,北京,25-45k·15薪,3-5年,本科,https://www.liepin.com/job/1975020373.shtml,已验证（未上市独角兽）,已验证（猎聘官方页面）,大厂直招 AI教育方向 非常匹配4.5年经验,是
2026-08-10,猎聘,资深UI设计师-国际化产品,字节跳动,其他民企（独角兽）,北京,20-50k·15薪,3年以上,本科,https://www.liepin.com/job/1972194705.shtml,已验证（未上市独角兽）,已验证（猎聘官方页面）,大厂直招 国际化方向 适合4.5年经验,是
2026-08-10,猎聘,品牌广告资深体验设计师,字节跳动,其他民企（独角兽）,北京,30-50k·15薪,3-5年,本科,https://www.liepin.com/job/1972480567.shtml,已验证（未上市独角兽）,已验证（猎聘官方页面）,大厂直招 广告方向 非常匹配4.5年经验,是
2026-08-10,猎聘,平台资深体验设计师-广告业务,字节跳动,其他民企（独角兽）,北京,30-50k·15薪,3-5年,本科,https://www.liepin.com/job/1972114111.shtml,已验证（未上市独角兽）,已验证（猎聘官方页面）,大厂直招 广告平台 非常匹配4.5年经验,是
2026-08-10,猎聘,ID创新体验设计师-PICO,字节跳动,其他民企（独角兽）,北京,40-70k·15薪,3-5年,本科,https://www.liepin.com/job/1973645735.shtml,已验证（未上市独角兽）,已验证（猎聘官方页面）,大厂直招 PICO VR创新方向 非常匹配4.5年经验,是
2026-08-10,猎聘,用户体验设计师(J13890),曙光信息产业(北京),上市民企,北京,20-35k,3年以上,本科,https://www.liepin.com/job/1984302523.shtml,已验证（中科曙光上交所603019）,已验证（猎聘官方页面）,A股上市 服务器/计算 适合4.5年经验,是
2026-08-10,猎聘,体验设计师-AIGC方向,高德,上市民企,北京,25-40k·16薪,5-10年,本科,https://www.liepin.com/job/1973086971.shtml,已验证（阿里巴巴NYSE:BABA旗下）,已验证（猎聘官方页面）,大厂直招 AIGC方向 地图服务,是
2026-08-10,猎聘,体验设计师(视觉/UI方向),阿里云,上市民企,北京,18-23k·13薪,3-5年,本科,https://www.liepin.com/job/1945653257.shtml,已验证（阿里巴巴NYSE:BABA旗下）,已验证（猎聘官方页面）,大厂直招 云计算 非常匹配4.5年经验,是
2026-08-10,猎聘,UX用户体验设计师,泰康养老保险,其他民企（大型）,北京,15-25k·16薪,1-3年,本科,https://www.liepin.com/job/1972172325.shtml,已验证（泰康保险集团 大型金融）,已验证（猎聘官方页面）,大型金融集团 16薪 稳定,是
2026-08-10,猎聘,高级UI/UX设计师,融云,其他民企,北京,20-50k·14薪,5-10年,本科,https://www.liepin.com/job/1982608771.shtml,已验证（未上市 通信PaaS）,已验证（猎聘官方页面）,通信云服务 薪资范围宽,是
2026-08-10,猎聘,资深体验设计师,数字人民币运营管理中心,央企,北京,40-70k,5-10年,本科,https://www.liepin.com/job/1981634721.shtml,已验证（央行数字货币研究所下属）,已验证（猎聘官方页面）,央企背景 数字货币 薪资高,是
2026-08-10,猎聘,资深UI设计师(J10160),花椒直播,上市民企,北京,15-30k,3-5年,本科,https://www.liepin.com/job/1946972415.shtml,已验证（360集团上交所601360旗下）,已验证（猎聘官方页面）,A股上市 直播赛道 非常匹配4.5年经验,是
2026-08-10,猎聘,高级/资深UI设计师-RD03,英雄游戏,其他民企,北京,30-40k,5-10年,本科,https://www.liepin.com/job/1966728571.shtml,已验证（未上市 游戏公司）,已验证（猎聘官方页面）,游戏赛道 薪资高,是
2026-08-10,智联招聘,UI设计师(国企),亦庄国际人力,国企,北京,15-20k,3-5年,本科,https://www.zhaopin.com/jobdetail/CC189963810J40820839411.htm,已验证（北京亦庄国际人力资源 国企）,已验证（智联官方页面）,国企 B端产品 非常匹配4.5年经验,是
2026-08-10,智联招聘,UI/UE设计师,北辰实业,国资控股,北京,25-29k,5-10年,本科,https://www.zhaopin.com/jobdetail/CC000223000J40916366615.htm,已验证（北辰实业港交所0588 国资控股）,已验证（智联官方页面）,国资控股 数据产品 薪资好,是
2026-08-10,智联招聘,UE/UX交互设计师,圣元,上市民企,北京,8-12k,3-5年,本科,https://www.zhaopin.com/jobdetail/CC210519510J40473066607.htm,已验证（纳斯达克上市SYUT）,已验证（智联官方页面）,美股上市 母婴赛道 薪资偏低,是
2026-08-10,猎聘,高级UI设计师,安徽数智建材研究院,其他民企,北京,20-35k·15薪,5-10年,本科,https://www.liepin.com/job/1984438661.shtml,待验证（安徽国企下属研究院）,已验证（猎聘官方页面）,可能国企背景 待确认,是
2026-08-10,猎聘,3c数码商城UI设计师,北京领胜创展管理咨询,其他民企,北京,15-23k,3-5年,本科,https://www.liepin.com/job/1984245705.shtml,待验证（咨询公司 驻场可能）,已验证（猎聘官方页面）,3C电商方向 非常匹配4.5年经验,是
2026-08-10,猎聘,UI设计师（海外金融）,深圳宇创时代科技,其他民企,北京,20-40k·13薪,3年以上,本科,https://www.liepin.com/job/1984438387.shtml,待验证（深圳民营科技企业）,已验证（猎聘官方页面）,海外金融方向 适合4.5年经验,是
2026-08-10,猎聘,高级UI设计师,北京尚禾伦鼎科技,其他民企,北京,15-20k,2年以上,本科,https://www.liepin.com/job/1981845543.shtml,待验证（北京民营科技企业）,已验证（猎聘官方页面）,适合4.5年经验,是
2026-08-10,猎聘,UI/视觉设计师/高级UI设计师,北京千一智城科技,其他民企,北京,12-24k,3-5年,本科,https://www.liepin.com/job/1983996373.shtml,待验证（北京民营科技企业）,已验证（猎聘官方页面）,非常匹配4.5年经验,是
2026-08-10,智联招聘,UI/UE（用户界面/用户体验）设计师,金斯瑞生物科技,上市民企,南京,面议,3-5年,本科,https://www.zhaopin.com/jobdetail/CC143982550J40836076714.htm,已验证（纽交所上市BTIL）,已验证（智联官方页面）,美股上市 生物科技 非常匹配4.5年经验,是
2026-08-10,猎聘,UI设计师,聚名科技集团,其他民企,合肥,12-18k,3-5年,大专,https://www.liepin.com/job/1966919229.shtml,已验证（合肥民营互联网企业）,已验证（猎聘官方页面）,合肥民企 非常匹配4.5年经验,是
2026-08-10,猎聘,高级UI设计师,聚名科技集团,其他民企,合肥,11-20k,3-5年,大专,https://www.liepin.com/job/1945172271.shtml,已验证（合肥民营互联网企业）,已验证（猎聘官方页面）,合肥民企 非常匹配4.5年经验,是
2026-08-10,猎聘,UI设计师,安徽省东超科技,其他民企,合肥,8-15k,3-5年,本科,https://www.liepin.com/job/1958210279.shtml,已验证（安徽东超科技 空中成像）,已验证（猎聘官方页面）,合肥高新技术企业 空中成像,是
2026-08-10,猎聘,Ui设计师,安徽影联云享医疗,其他民企,合肥,9-15k·15薪,2年以上,本科,https://www.liepin.com/job/1978293303.shtml,已验证（安徽影联云享 医疗信息化）,已验证（猎聘官方页面）,医疗信息化 15薪,是
2026-08-10,猎聘,移动端交互设计师,Baidu,上市民企,北京,25-45k·16薪,3-5年,本科,https://www.liepin.com/job/1983690229.shtml,已验证（纳斯达克/港交所上市）,已验证（猎聘官方页面）,大厂直招 适合4.5年经验,否
2026-08-10,猎聘,B端交互设计师,Baidu,上市民企,北京,30-40k·16薪,3年以上,本科,https://www.liepin.com/job/1981865005.shtml,已验证（纳斯达克/港交所上市）,已验证（猎聘官方页面）,大厂直招 适合4.5年经验,否
2026-08-10,猎聘,交互设计师,Baidu,上市民企,北京,15-35k·16薪,3-5年,本科,https://www.liepin.com/job/1975249777.shtml,已验证（纳斯达克/港交所上市）,已验证（猎聘官方页面）,大厂直招,否
2026-08-10,猎聘,高级交互设计师,Baidu,上市民企,北京,25-30k,3年以上,本科,https://www.liepin.com/job/1976152851.shtml,已验证（纳斯达克/港交所上市）,已验证（猎聘官方页面）,大厂直招,否
2026-08-10,猎聘,HCI人机交互设计师-PICO,字节跳动,其他民企（独角兽）,北京,30-60k·15薪,3-5年,本科,https://www.liepin.com/job/1973646061.shtml,已验证（未上市独角兽 张一鸣控股）,已验证（猎聘官方页面）,PICO VR方向 适合4.5年经验,否
2026-08-10,猎聘,HCI人机交互设计师-PICO,字节跳动,其他民企（独角兽）,北京,30-60k·15薪,经验不限,本科,https://www.liepin.com/job/1977899431.shtml,已验证（未上市独角兽 张一鸣控股）,已验证（猎聘官方页面）,PICO VR方向,否
2026-08-10,猎聘,交互设计师-AI大模型,中国电子云,央企,北京,2-4k,3-5年,本科,https://www.liepin.com/job/1973542383.shtml,已验证（中国电子信息产业集团央企子公司）,已验证（猎聘官方页面）,央企背景 薪资偏低需确认,否
2026-08-10,猎聘,交互设计师,石头科技,上市民企,北京,20-35k·16薪,4年以上,本科,https://www.liepin.com/job/1980847233.shtml,已验证（科创板上市688169）,已验证（猎聘官方页面）,科创板上市 非常匹配4.5年经验,否
2026-08-10,猎聘,交互设计师(A119341A),小米,上市民企,北京,25-40k·16薪,5-10年,本科,https://www.liepin.com/job/1981098139.shtml,已验证（港交所上市01810）,已验证（猎聘官方页面）,大厂直招 500强,否
2026-08-10,猎聘,小米海外光网UI设计师,小米,上市民企,北京,15-30k·15薪,3-5年,本科,https://www.liepin.com/job/1984292803.shtml,已验证（港交所上市01810）,已验证（猎聘官方页面）,大厂直招 海外方向,否
2026-08-10,猎聘,会员/儿童交互设计师,小米集团,上市民企,北京,30-35k,5-10年,本科,https://www.liepin.com/job/1978167771.shtml,已验证（港交所上市01810）,已验证（猎聘官方页面）,大厂直招,否
2026-08-10,猎聘,UI设计师（电商消费下单链路方向）,快手,上市民企,北京,20-35k·16薪,1-3年,本科,https://www.liepin.com/job/1984539037.shtml,已验证（港交所上市1024）,已验证（猎聘官方页面）,大厂直招 电商方向,否
2026-08-10,猎聘,资深UI设计师,作业帮,其他民企（独角兽）,北京,20-35k·15薪,5-10年,本科,https://www.liepin.com/job/1984467671.shtml,已验证（未上市独角兽 D轮+）,已验证（猎聘官方页面）,教育赛道 适合4.5年+经验,否
2026-08-10,猎聘,高级交互设计师、专家,用友网络,上市民企,北京,26-55k·16薪,3年以上,本科,https://www.liepin.com/job/1940351141.shtml,已验证（上交所上市600588）,已验证（猎聘官方页面）,A股上市 B端企业软件,否
2026-08-10,猎聘,交互设计师,钢研国际新材料创新中心,央企,北京,15-20k,3年以上,本科,https://www.liepin.com/job/1976771209.shtml,已验证（中国钢研科技集团央企子公司）,已验证（猎聘官方页面）,央企背景 稳定,否
2026-08-10,猎聘,XR空间交互设计师,XREAL,其他民企,北京,20-40k·14薪,5-10年,本科,https://www.liepin.com/job/1983067019.shtml,已验证（未上市 AR眼镜公司）,已验证（猎聘官方页面）,XR方向 新兴赛道,否
2026-08-10,猎聘,资深交互设计师,歌尔丹拿科技,上市民企,北京,20-35k,5年以上,本科,https://www.liepin.com/job/1974070581.shtml,已验证（歌尔股份002241子公司）,已验证（猎聘官方页面）,A股上市 声学/VR赛道,否
2026-08-10,猎聘,高级UI设计师,紫光天际(南京)科技,国资控股,北京,15-25k,5-10年,本科,https://www.liepin.com/job/1984171911.shtml,已验证（新紫光集团 国资控股体系）,已验证（猎聘官方页面）,国资控股 稳定,否
2026-08-10,猎聘,AI智能体交互设计师,联想教育,上市民企,北京,50-70k·15薪,6-10年,本科,https://www.liepin.com/job/1983789869.shtml,已验证（联想集团港交所上市0992）,已验证（猎聘官方页面）,大厂直招 AI方向 薪资高,否
2026-08-10,猎聘,UX/交互设计师,法本信息,上市民企,北京,15-18k,5-10年,本科,https://www.liepin.com/job/1979098743.shtml,已验证（深交所上市300925）,已验证（猎聘官方页面）,A股上市 IT服务,否
2026-08-10,猎聘,高级交互设计师,MetaApp,其他民企,北京,20-26k·14薪,3年以上,大专,https://www.liepin.com/job/1980658215.shtml,已验证（未上市 游戏平台）,已验证（猎聘官方页面）,游戏赛道,否
2026-08-10,智联招聘,UX用户体验设计师+线上面试+央企,深圳极联信息技术,其他民企,北京,面议,3-5年,本科,https://www.zhaopin.com/jobdetail/CC409287530J40821460807.htm,待验证,已验证（智联官方页面）,标注央企合作项目,否
2026-08-10,BOSS直聘,UI设计师,字节跳动,其他民企（独角兽）,北京,面议,3-5年,本科,https://www.zhipin.com/job_detail/a62c28275bf9a2b71XZ52tm7E1RT.html,已验证（未上市独角兽）,已验证（BOSS直聘官方页面）,大厂直招,否
2026-08-10,BOSS直聘,ux设计师-豆包爱学,字节跳动,其他民企（独角兽）,北京,面议,3-5年,本科,https://www.zhipin.com/job_detail/378bb740725734f803x72tW5EVBW.html,已验证（未上市独角兽）,已验证（BOSS直聘官方页面）,大厂直招 AI教育方向,否
2026-08-10,猎聘,UI设计师,江苏天合储能有限公司,上市民企,南京,14-25k·15薪,3年以上,本科,https://www.liepin.com/job/1977270173.shtml,已验证（天合光能688599子公司）,已验证（猎聘官方页面）,A股科创板上市 新能源,否
2026-08-10,猎聘,交互UI设计师,华乘科技,其他民企,南京,15-18k·14薪,5年以上,本科,https://www.liepin.com/job/1973025725.shtml,已验证（南京民营科技企业）,已验证（猎聘官方页面）,14薪 稳定民企,否
2026-08-10,猎聘,UI设计师,佗道医疗,其他民企,南京,15-22k,2-4年,本科,https://www.liepin.com/job/1984481699.shtml,已验证（医疗机器人 高新技术企业）,已验证（猎聘官方页面）,医疗赛道 非常匹配4.5年经验,否
2026-08-10,猎聘,资深UI设计师,全速创想,其他民企,南京,15-23k,5-10年,本科,https://www.liepin.com/job/1971522195.shtml,待验证（设计公司）,已验证（猎聘官方页面）,设计公司经验要求匹配,否
2026-08-10,猎聘,UI设计师（客户端/web）,纵深视觉科技,其他民企,南京,12-25k,3年以上,本科,https://www.liepin.com/job/1974973805.shtml,待验证（视觉科技公司）,已验证（猎聘官方页面）,薪资范围宽 适合4.5年经验,否
2026-08-10,智联招聘,ux交互设计师,中软国际,上市民企,南京,面议,3年以上,本科,https://www.zhaopin.com/jobdetail/CC508620120J40612444612.htm,已验证（港交所上市00354）,已验证（智联官方页面）,港股上市 IT服务,否
2026-08-10,猎聘,UI设计师-UED,科大讯飞,上市民企,合肥,20-23k·15薪,5-10年,本科,https://www.liepin.com/job/1982835115.shtml,已验证（深交所上市002230）,已验证（猎聘官方页面）,A股上市 AI赛道 适合4.5年+经验,否
2026-08-10,猎聘,UI设计师,科大讯飞,上市民企,合肥,15-25k·14薪,3-5年,本科,https://www.liepin.com/job/1978425743.shtml,已验证（深交所上市002230）,已验证（猎聘官方页面）,A股上市 非常匹配4.5年经验,否
2026-08-10,猎聘,高级UI设计师,美的集团,上市民企,合肥,20-40k·15薪,10年以上,本科,https://www.liepin.com/job/1981590471.shtml,已验证（A股000333/港股0300 500强）,已验证（猎聘官方页面）,世界500强 经验要求偏高,否
2026-08-10,猎聘,Design UI System Specialist,大众汽车(安徽),外企,合肥,20-30k,5-10年,本科,https://www.liepin.com/job/1982695415.shtml,已验证（大众汽车集团德国总部）,已验证（猎聘官方页面）,外企500强 汽车HMI,否
2026-08-10,猎聘,Design UI Motion Designer,大众汽车(安徽),外企,合肥,15-35k,3-5年,本科,https://www.liepin.com/job/1979552341.shtml,已验证（大众汽车集团德国总部）,已验证（猎聘官方页面）,外企500强 非常匹配4.5年经验,否
2026-08-10,猎聘,Design UI System Specialist (MJ004909),大众汽车(安徽),外企,合肥,15-35k,3-5年,本科,https://www.liepin.com/job/1979552317.shtml,已验证（大众汽车集团德国总部）,已验证（猎聘官方页面）,外企500强 非常匹配4.5年经验,否
2026-08-10,猎聘,汽车HMI UI设计师,凯捷咨询(中国),外企,合肥,15-18k·13薪,3-5年,本科,https://www.liepin.com/job/1980948779.shtml,已验证（凯捷集团法国总部）,已验证（猎聘官方页面）,外企500强咨询 汽车HMI,否
2026-08-10,猎聘,汽车交互HMI UI设计师,凯捷咨询(中国),外企,合肥,15-20k·13薪,3年以上,大专,https://www.liepin.com/job/1981225577.shtml,已验证（凯捷集团法国总部）,已验证（猎聘官方页面）,外企500强咨询 HMI方向,否
2026-08-10,智联招聘,UX/UI设计师 (MJ001461),阳光电源股份有限公司,上市民企,合肥,面议,3年以上,本科,https://www.zhaopin.com/jobdetail/CC120598170J40505434406.htm,已验证（深交所上市300274 500强）,已验证（智联官方页面）,A股上市 新能源 非常匹配4.5年经验,否
2026-08-10,猎聘,汽车交互设计师,魏桥新能源汽车科技集团,其他民企,合肥,15-25k,5年以上,本科,https://www.liepin.com/job/1980089691.shtml,已验证（魏桥创业集团 民企500强）,已验证（猎聘官方页面）,大型民企 新能源汽车,否
