日期,平台,岗位名称,公司名称,公司类型,城市,薪资范围,经验要求,学历要求,岗位链接,公司工商验证,招聘信息验证,备注,是否新增
2026-08-07,猎聘,Design UI System Specialist,大众汽车(安徽),外企,合肥,20-30k,5-10年,本科,https://www.liepin.com/job/1982695415.shtml,已验证（大众汽车集团德国总部）,已验证（猎聘官方页面）,外企500强 汽车HMI,是
2026-08-07,猎聘,Design UI Motion Designer,大众汽车(安徽),外企,合肥,15-35k,3-5年,本科,https://www.liepin.com/job/1979552341.shtml,已验证（大众汽车集团德国总部）,已验证（猎聘官方页面）,外企500强 非常匹配4.5年经验,是
2026-08-07,猎聘,Design UI System Specialist (MJ004909),大众汽车(安徽),外企,合肥,15-35k,3-5年,本科,https://www.liepin.com/job/1979552317.shtml,已验证（大众汽车集团德国总部）,已验证（猎聘官方页面）,外企500强 非常匹配4.5年经验,是
2026-08-07,猎聘,汽车HMI UI设计师,凯捷咨询(中国),外企,合肥,15-18k·13薪,3-5年,本科,https://www.liepin.com/job/1980948779.shtml,已验证（凯捷集团法国总部）,已验证（猎聘官方页面）,外企500强咨询 汽车HMI,是
2026-08-07,猎聘,汽车交互HMI UI设计师,凯捷咨询(中国),外企,合肥,15-20k·13薪,3年以上,大专,https://www.liepin.com/job/1981225577.shtml,已验证（凯捷集团法国总部）,已验证（猎聘官方页面）,外企500强咨询 HMI方向,是
2026-08-07,智联招聘,UX/UI设计师 (MJ001461),阳光电源股份有限公司,上市民企,合肥,面议,3年以上,本科,https://www.zhaopin.com/jobdetail/CC120598170J40505434406.htm,已验证（深交所上市300274 500强）,已验证（智联官方页面）,A股上市 新能源 非常匹配4.5年经验,是
2026-08-07,猎聘,汽车交互设计师,魏桥新能源汽车科技集团,其他民企,合肥,15-25k,5年以上,本科,https://www.liepin.com/job/1980089691.shtml,已验证（魏桥创业集团 民企500强）,已验证（猎聘官方页面）,大型民企 新能源汽车,是
2026-08-07,智联招聘,UX用户体验设计师+线上面试+央企,深圳极联信息技术股份有限公司,其他民企,北京,面议,3-5年,本科,https://www.zhaopin.com/jobdetail/CC409287530J40821460807.htm,待验证,已验证（智联官方页面）,标注央企合作项目,是
2026-08-07,智联招聘,ux交互设计师,中软国际,上市民企,南京,面议,3年以上,本科,https://www.zhaopin.com/jobdetail/CC508620120J40612444612.htm,已验证（港交所上市00354）,已验证（智联官方页面）,港股上市 IT服务,是
2026-08-07,BOSS直聘,UI设计师,字节跳动,其他民企（独角兽）,北京,面议,3-5年,本科,https://www.zhipin.com/job_detail/a62c28275bf9a2b71XZ52tm7E1RT.html,已验证（未上市独角兽）,已验证（BOSS直聘官方页面）,大厂直招,是
2026-08-07,BOSS直聘,ux设计师-豆包爱学,字节跳动,其他民企（独角兽）,北京,面议,3-5年,本科,https://www.zhipin.com/job_detail/378bb740725734f803x72tW5EVBW.html,已验证（未上市独角兽）,已验证（BOSS直聘官方页面）,大厂直招 AI教育方向,是
